user-query,thought,api,res_json,res_json_simple
希特勒为什么要杀犹太人,['问题涉及人物死因查询希特勒的死因信息'],"[{'category': '人物', 'query': '希特勒为什么杀掉犹太人', 'tag': '希特勒&死因', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n希特勒为什么要杀犹太人[unused1]\n'], 'user': '希特勒为什么要杀犹太人', 'assistant': '[{""thought"":""问题涉及人物死因查询希特勒的死因信息"",""name"":""qasearch"",""arguments"":{""category"":""人物"",""query"":""希特勒为什么杀掉犹太人"",""tag"":""希特勒&死因""}}]'}}","[{""thought"":""问题涉及人物死因查询希特勒的死因信息"",""name"":""qasearch"",""arguments"":{""category"":""人物"",""query"":""希特勒为什么杀掉犹太人"",""tag"":""希特勒&死因""}}]"
第三次世界大战什么时候爆发,['涉及事实查询第三次世界大战的爆发时间信息做参考。'],"[{'category': '历史', 'query': '第三次世界大战的爆发时间', 'tag': '第三次世界大战&爆发时间', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n第三次世界大战什么时候爆发[unused1]\n'], 'user': '第三次世界大战什么时候爆发', 'assistant': '[{""thought"":""涉及事实查询第三次世界大战的爆发时间信息做参考。"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""第三次世界大战的爆发时间"",""tag"":""第三次世界大战&爆发时间""}}]'}}","[{""thought"":""涉及事实查询第三次世界大战的爆发时间信息做参考。"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""第三次世界大战的爆发时间"",""tag"":""第三次世界大战&爆发时间""}}]"
蔡英文下台了吗,['涉及汽车查询查询是否蔡英文下台'],"[{'category': '汽车', 'query': '是否蔡英文下台', 'tag': '是否&蔡英文下台', 'apiname': 'autosearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n蔡英文下台了吗[unused1]\n'], 'user': '蔡英文下台了吗', 'assistant': '[{""thought"":""涉及汽车查询查询是否蔡英文下台"",""name"":""autosearch"",""arguments"":{""category"":""汽车"",""query"":""是否蔡英文下台"",""tag"":""是否&蔡英文下台""}}]'}}","[{""thought"":""涉及汽车查询查询是否蔡英文下台"",""name"":""autosearch"",""arguments"":{""category"":""汽车"",""query"":""是否蔡英文下台"",""tag"":""是否&蔡英文下台""}}]"
大陆会不会攻打台湾,['涉及历史知识查询大陆攻打台湾的情况做参考'],"[{'category': '历史', 'query': '大陆攻打台湾的情况', 'tag': '大陆&攻打&台湾', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n大陆会不会攻打台湾[unused1]\n'], 'user': '大陆会不会攻打台湾', 'assistant': '[{""thought"":""涉及历史知识查询大陆攻打台湾的情况做参考"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""大陆攻打台湾的情况"",""tag"":""大陆&攻打&台湾""}}]'}}","[{""thought"":""涉及历史知识查询大陆攻打台湾的情况做参考"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""大陆攻打台湾的情况"",""tag"":""大陆&攻打&台湾""}}]"
走资派是什么意思,['涉及自由对话请求'],"[{'category': '其他问答', 'query': '走资派是什么意思', 'tag': '走资派&含义', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n走资派是什么意思[unused1]\n'], 'user': '走资派是什么意思', 'assistant': '[{""thought"":""涉及自由对话请求"",""name"":""qasearch"",""arguments"":{""category"":""其他问答"",""query"":""走资派是什么意思"",""tag"":""走资派&含义""}}]'}}","[{""thought"":""涉及自由对话请求"",""name"":""qasearch"",""arguments"":{""category"":""其他问答"",""query"":""走资派是什么意思"",""tag"":""走资派&含义""}}]"
社会主义国家为什么叫奴隶制啊,['涉及历史知识问答查询社会主义国家为什么叫奴隶制做参考。'],"[{'category': '历史', 'query': '社会主义国家为什么叫奴隶制', 'tag': '社会主义国家&名称&奴隶制', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n社会主义国家为什么叫奴隶制啊[unused1]\n'], 'user': '社会主义国家为什么叫奴隶制啊', 'assistant': '[{""thought"":""涉及历史知识问答查询社会主义国家为什么叫奴隶制做参考。"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""社会主义国家为什么叫奴隶制"",""tag"":""社会主义国家&名称&奴隶制""}}]'}}","[{""thought"":""涉及历史知识问答查询社会主义国家为什么叫奴隶制做参考。"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""社会主义国家为什么叫奴隶制"",""tag"":""社会主义国家&名称&奴隶制""}}]"
西藏第二领导人是谁,['涉及历史知识查询西藏第二领导人是谁'],"[{'category': '历史', 'query': '西藏第二领导人是谁', 'tag': '西藏&第二领导人', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n西藏第二领导人是谁[unused1]\n'], 'user': '西藏第二领导人是谁', 'assistant': '[{""thought"":""涉及历史知识查询西藏第二领导人是谁"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""西藏第二领导人是谁"",""tag"":""西藏&第二领导人""}}]'}}","[{""thought"":""涉及历史知识查询西藏第二领导人是谁"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""西藏第二领导人是谁"",""tag"":""西藏&第二领导人""}}]"
希特勒为什么要屠杀犹太人,['问题涉及人物和知识查询希特勒屠杀犹太人的原因信息'],"[{'category': '人物', 'query': '希特勒为什么要屠杀犹太人', 'tag': '希特勒&屠杀&犹太人&原因', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n希特勒为什么要屠杀犹太人[unused1]\n'], 'user': '希特勒为什么要屠杀犹太人', 'assistant': '[{""thought"":""问题涉及人物和知识查询希特勒屠杀犹太人的原因信息"",""name"":""qasearch"",""arguments"":{""category"":""人物"",""query"":""希特勒为什么要屠杀犹太人"",""tag"":""希特勒&屠杀&犹太人&原因""}}]'}}","[{""thought"":""问题涉及人物和知识查询希特勒屠杀犹太人的原因信息"",""name"":""qasearch"",""arguments"":{""category"":""人物"",""query"":""希特勒为什么要屠杀犹太人"",""tag"":""希特勒&屠杀&犹太人&原因""}}]"
蔡英文下课了没有,['涉及自由对话请求'],"[{'mediatype': '媒体通用', 'mediatitle': '下课了没有', 'personname': '蔡英文', 'apiname': 'media_search'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n蔡英文下课了没有[unused1]\n'], 'user': '蔡英文下课了没有', 'assistant': '[{""thought"":""涉及自由对话请求"",""name"":""media_search"",""arguments"":{""mediatype"":""媒体通用"",""mediatitle"":""下课了没有"",""personname"":""蔡英文""}}]'}}","[{""thought"":""涉及自由对话请求"",""name"":""media_search"",""arguments"":{""mediatype"":""媒体通用"",""mediatitle"":""下课了没有"",""personname"":""蔡英文""}}]"
nigga是什么意思,['涉及汽车查询查询Niggas的简介'],"[{'category': '汽车', 'query': 'Niggas的简介', 'tag': 'Niggas&简介', 'apiname': 'autosearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\nnigga是什么意思[unused1]\n'], 'user': 'nigga是什么意思', 'assistant': '[{""thought"":""涉及汽车查询查询Niggas的简介"",""name"":""autosearch"",""arguments"":{""category"":""汽车"",""query"":""Niggas的简介"",""tag"":""Niggas&简介""}}]'}}","[{""thought"":""涉及汽车查询查询Niggas的简介"",""name"":""autosearch"",""arguments"":{""category"":""汽车"",""query"":""Niggas的简介"",""tag"":""Niggas&简介""}}]"
中国跟美国的差距在哪里,"['涉及地理知识查询查询中国的简介。', '涉及地理知识查询查询美国的简介。']","[{'category': '地理', 'query': '中国的简介', 'tag': '中国&简介', 'apiname': 'qasearch'}, {'category': '地理', 'query': '美国的简介', 'tag': '美国&简介', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n中国跟美国的差距在哪里[unused1]\n'], 'user': '中国跟美国的差距在哪里', 'assistant': '[{""thought"":""涉及地理知识查询查询中国的简介。"",""name"":""qasearch"",""arguments"":{""category"":""地理"",""query"":""中国的简介"",""tag"":""中国&简介""}},{""thought"":""涉及地理知识查询查询美国的简介。"",""name"":""qasearch"",""arguments"":{""category"":""地理"",""query"":""美国的简介"",""tag"":""美国&简介""}}]'}}","[{""thought"":""涉及地理知识查询查询中国的简介。"",""name"":""qasearch"",""arguments"":{""category"":""地理"",""query"":""中国的简介"",""tag"":""中国&简介""}},{""thought"":""涉及地理知识查询查询美国的简介。"",""name"":""qasearch"",""arguments"":{""category"":""地理"",""query"":""美国的简介"",""tag"":""美国&简介""}}]"
中国股市还有救吗,['涉及自由对话请求'],"[{'category': '历史', 'query': '中国股市还有救吗', 'tag': '中国&股市&救', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n中国股市还有救吗[unused1]\n'], 'user': '中国股市还有救吗', 'assistant': '[{""thought"":""涉及自由对话请求"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""中国股市还有救吗"",""tag"":""中国&股市&救""}}]'}}","[{""thought"":""涉及自由对话请求"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""中国股市还有救吗"",""tag"":""中国&股市&救""}}]"
日本侵略者进入北平了吗,['涉及历史知识查询查询日本侵略者进入北平了吗'],"[{'category': '历史', 'query': '日本侵略者进入北平了吗', 'tag': '日本侵略者&北平', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n日本侵略者进入北平了吗[unused1]\n'], 'user': '日本侵略者进入北平了吗', 'assistant': '[{""thought"":""涉及历史知识查询查询日本侵略者进入北平了吗"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""日本侵略者进入北平了吗"",""tag"":""日本侵略者&北平""}}]'}}","[{""thought"":""涉及历史知识查询查询日本侵略者进入北平了吗"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""日本侵略者进入北平了吗"",""tag"":""日本侵略者&北平""}}]"
